,Tweets,ID
61,"Scottish Cycling pays tribute to former junior world champion John Paul, who has died aged 28 https://t.co/Q0thWujADb",1501688290059198467
62,"Thursday's Star: ""Do you really think that's wise, sir?"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/14rSjlITT2",1501687294910152706
63,"Thursday's Express: ""The ultimate in depravity"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/LyEMxSe44L",1501686839383625728
64,Oil prices plunge as UAE supports supply boost https://t.co/RNcO4Qd27A,1501686276130541569
65,"Thursday's Sun: ""Evil upon evil"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/T2FoID7y3U",1501685508044468231
66,"Thursday's Mail: ""Depraved"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/U596Q1RQxp",1501685033601540099
67,"Thursday's Guardian: ""‘An atrocity’: Russia bombs Ukraine children’s hospital"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/2hfW7OD16c",1501684018105958401
68,"Thursday's Telegraph: ""Russia ‘plotting chemical attack’"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/N1oZrkov7R",1501682668639035406
69,"Thursday's Mirror: ""Barbaric"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/dMI480fx6x",1501682112969199617
70,Belfast factory to make ‘air taxi’ wings for 'multi-copter' https://t.co/Exo0lcjx0U,1501681865174007811
71,Cardiff orchestra removes Tchaikovsky from programme amid war https://t.co/sTEBjQ186e,1501678501916774405
72,"Thursday's i: ""Putin bombs children's hospital"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/nH0bRGYsxN",1501678113176145929
73,Leeds shop worker answers mum's crisp plea for autistic son https://t.co/LVmWVYb0md,1501674822593650698
74,"Thursday's Metro: ""Russians hit baby hospital"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/laRuWMWvWQ",1501672735625429000
75,Denmark says sorry to children of failed experiment https://t.co/rDBHBrmAUe,1501670984549642241
76,£1m lottery winners celebrate two grandsons after funding daughters' IVF https://t.co/5BPD8LVNwK,1501666905366609929
77,"Thursday's FT: ""Zelensky accuses Russians of hospital ‘atrocity’ in plea for world’s assistance"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/2tDXoxyvRx",1501665921902989314
78,"Absent UK soldiers may have travelled to Ukraine, British Army says https://t.co/05h3DTgc9c",1501662156064010242
79,Killers lose human rights case over phone calls block https://t.co/kUK0DgGRIC,1501659804556795917
80,"One-off energy bill support payment, to help people struggling with rising costs in Northern Ireland, delayed by one day https://t.co/m2az1be0wm",1501657718330961927
81,Underwater robots find Shackleton's lost Endurance ship in remarkable condition https://t.co/fBfTheIUCP,1501654339353518084
82,US man given genetically modified pig heart in world-first surgery dies https://t.co/xox3kTht7p,1501652064715350022
83,Ukraine maternity and children's ward in ruins after Russia strike https://t.co/lyai0zsRoM,1501651541245239298
84,Outspoken royals don't hide sympathies over Ukraine https://t.co/eTtHgFmPAZ,1501648595484827654
85,Stormont ministers advised budget cannot pass without NI Executive https://t.co/lgiM2TUZtv,1501647026026688522
86,Will the US crack down on cryptocurrency? https://t.co/9z4i2IFIen,1501645248384090118
87,Homemade purifiers being used in Welsh schools to clean air and prevent spread of Covid https://t.co/jPk3GiRN74,1501641007040970765
88,"NHS Test and Trace call-handler resigns after voicemail that ""sounded like two people having sex"" https://t.co/BLukTdIOcR",1501637508534259723
89,Revolver Records pulls releases from Russian market amid Ukraine war https://t.co/3UcLmXNVOz,1501633561140633606
90,Fact-checking Boris Johnson's claim about refugees https://t.co/HV5QzubA8Y,1501632185647906820
91,Body found in search for missing robbery suspect Jamie Gilbey https://t.co/LRjkLWV3GI,1501631662697979906
92,Northern Ireland wastewater tested to detect Covid outbreaks https://t.co/alzkSpTJwD,1501627717137149952
93,Austria suspends compulsory Covid vaccination mandate https://t.co/PnNJAfcC2y,1501625858775261186
94,Man tells police he drove without licence for 52 years https://t.co/IG1Bevbd4s,1501624939320909829
95,West fears Russia could use non-conventional weapons https://t.co/uJYLQblVZm,1501622148103876614
96,Boyfriend guilty of mother-of-four Helen Anderson's murder https://t.co/Y4dUCL6jfw,1501618017557528583
97,Call for alcohol addiction nurses at GP surgeries https://t.co/cHx4saCsYG,1501617145469444096
98,"Dog became ""lifeless"" after eating cannabis on walk in Nottinghamshire, vet says https://t.co/Tm0DGGQfET",1501615163841122308
99,Five moments of human connection amid the war in Ukraine https://t.co/5QwCJCE7Go,1501612465364287495
100,Ed Sheeran's co-writer John McDaid calls plagiarism 'abhorrent' https://t.co/ZHBKi2Vnkw,1501609063582474251
101,Ukraine civilians flee towns near Kyiv after more Russian shelling https://t.co/mZqVjdAUrk,1501605344811831299
102,Is the Russia-Ukraine war putting the internet on the verge of break-up? https://t.co/Pjgef0EZ3n,1501604441488769026
103,Encanto director invites glasses 'hero' schoolgirl Lowri to Baftas https://t.co/vdVAxBdevx,1501601860305801224
104,Fire crews to get bullet proof vests in Greater Manchester and London https://t.co/qbnporGdog,1501601033969180688
105,UK agrees to supply more weapons to Ukraine https://t.co/A1sp7lMWBQ,1501598487565287428
106,Former Radio 1 DJ Mark Page guilty of child sex offences https://t.co/wjg84xrOLo,1501595247389786112
107,"""I think it's going to take me years before I can say I'm Russian and not feel ashamed""

Russian woman considers leaving her country behind https://t.co/ccmkGwCrJW",1501592892174970890
108,Two charged after 10-year-old boy killed in dog attack in Caerphilly https://t.co/pqrLg9dQVk,1501590219811872775
109,Dead 10ft python found dumped among rubbish bags in Grimsby https://t.co/X9uZjWa2J7,1501584525037645834
